season,season_label,team_name,shot_type,shot_made,basic_zone,loc_x,loc_y,shot_distance
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,0.4,5.85,0
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-1,5.05,1
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Paint (non-RA),1.3,10.45,5
2013,2013-14,Denver Nuggets,2PT,Missed,Midrange,-10.6,7.75,10
2013,2013-14,Houston Rockets,2PT,Missed,Midrange,6.2,22.55,18
2013,2013-14,Utah Jazz,2PT,Made,Midrange,15.5,7.25,15
2013,2013-14,Brooklyn Nets,2PT,Missed,Paint (non-RA),-1,11.25,6
2013,2013-14,Oklahoma City Thunder,2PT,Made,Restricted Area,-1,6.45,1
2013,2013-14,San Antonio Spurs,2PT,Missed,Restricted Area,1.5,5.35,1
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,-1.3,6.75,1
2013,2013-14,New York Knicks,2PT,Missed,Restricted Area,-0.2,6.65,1
2013,2013-14,Cleveland Cavaliers,2PT,Made,Restricted Area,-0.7,4.65,0
2013,2013-14,Cleveland Cavaliers,2PT,Made,Restricted Area,-2.3,5.65,2
2013,2013-14,Milwaukee Bucks,2PT,Made,Restricted Area,0.5,4.95,0
2013,2013-14,Cleveland Cavaliers,2PT,Made,Restricted Area,-0.1,5.65,0
2013,2013-14,Chicago Bulls,2PT,Made,Midrange,16.6,4.65,16
2013,2013-14,Denver Nuggets,2PT,Made,Restricted Area,1,5.35,1
2013,2013-14,New York Knicks,2PT,Made,Restricted Area,-2.8,6.75,3
2013,2013-14,New Orleans Hornets,2PT,Made,Midrange,-14.4,4.25,14
2013,2013-14,Chicago Bulls,2PT,Missed,Midrange,-12.7,20.55,19
2013,2013-14,Charlotte Bobcats,2PT,Missed,Paint (non-RA),4.1,6.35,4
2013,2013-14,Houston Rockets,2PT,Missed,Midrange,1,21.75,16
2013,2013-14,Charlotte Bobcats,2PT,Made,Paint (non-RA),-0.6,11.25,6
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Restricted Area,1,5.35,1
2013,2013-14,Brooklyn Nets,2PT,Made,Midrange,-11.6,6.15,11
2013,2013-14,Charlotte Bobcats,2PT,Missed,Paint (non-RA),5.2,18.35,14
2013,2013-14,Washington Wizards,2PT,Missed,Midrange,13.1,19.85,19
2013,2013-14,Memphis Grizzlies,2PT,Made,Midrange,10.1,7.25,10
2013,2013-14,Indiana Pacers,2PT,Made,Restricted Area,-0.7,7.85,2
2013,2013-14,Los Angeles Clippers,2PT,Missed,Midrange,10.1,20.65,18
2013,2013-14,Indiana Pacers,2PT,Missed,Restricted Area,-2.8,5.65,2
2013,2013-14,Detroit Pistons,2PT,Made,Restricted Area,-0.1,5.85,0
2013,2013-14,Orlando Magic,2PT,Missed,Midrange,0.2,27.95,22
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,-0.7,7.75,2
2013,2013-14,Charlotte Bobcats,2PT,Made,Midrange,-1.7,21.25,16
2013,2013-14,Charlotte Bobcats,2PT,Missed,Midrange,-9.4,8.05,9
2013,2013-14,Golden State Warriors,2PT,Missed,Restricted Area,-2,8.65,3
2013,2013-14,Golden State Warriors,2PT,Missed,Restricted Area,-2,4.45,2
2013,2013-14,Boston Celtics,2PT,Made,Midrange,-0.7,26.05,20
2013,2013-14,Charlotte Bobcats,2PT,Missed,Paint (non-RA),4.9,14.85,10
2013,2013-14,Cleveland Cavaliers,2PT,Made,Restricted Area,-1.2,4.95,1
